,DATE,FED RATES,Mtg30,Mtg15,FHA 30,Jumbo30
0,2017-12,1.3,4.23,3.44,4.288,4.18
1,2018-01,1.41,4.14,3.62,4.556,4.428
2,2018-02,1.42,4.1,3.85,4.837,4.593
3,2018-03,1.51,4.08,3.9,4.788,4.447
4,2018-04,1.69,3.97,4.02,4.959,4.648
5,2018-05,1.7,4.03,4.06,4.922,4.658
6,2018-06,1.82,4.02,4.04,4.96,4.791
7,2018-07,1.91,4.05,4.02,4.989,4.688
8,2018-08,1.91,4.02,3.97,4.993,4.671
9,2018-09,1.95,3.95,4.16,5.086,4.796
10,2018-10,2.19,3.94,4.29,5.272,4.91
11,2018-11,2.2,3.89,4.25,5.21,5.008
12,2018-12,2.27,3.91,4.01,4.99,4.728
13,2019-01,2.4,3.9,3.89,4.817,4.474
14,2019-02,2.4,3.88,3.77,4.855,4.481
15,2019-03,2.41,3.96,3.57,4.55,4.228
16,2019-04,2.42,4.03,3.64,4.641,4.453
17,2019-05,2.39,3.96,3.46,4.39,4.147
18,2019-06,2.38,3.92,3.16,4.112,4.107
19,2019-07,2.4,3.93,3.18,4.126,4.004
20,2019-08,2.13,3.9,3.06,3.891,3.869
21,2019-09,2.04,3.89,3.16,3.947,3.989
22,2019-10,1.83,3.86,3.19,3.883,3.898
23,2019-11,1.55,3.82,3.15,3.928,3.894
24,2019-12,1.55,3.78,3.19,3.872,4.001
25,2020-01,1.55,3.78,3,3.834,3.735
26,2020-02,1.58,3.83,2.95,3.687,3.581
27,2020-03,0.65,3.83,2.92,3.513,3.713
28,2020-04,0.05,3.85,2.77,3.301,3.561
29,2020-05,0.05,3.91,2.62,3.31,3.475
30,2020-06,0.08,3.88,2.59,3.158,3.31
31,2020-07,0.09,3.94,2.51,2.964,3.181
32,2020-08,0.1,3.94,2.46,3.006,3.187
33,2020-09,0.09,3.9,2.4,2.994,3.071
34,2020-10,0.09,3.95,2.32,2.951,3.033
35,2020-11,0.09,3.92,2.28,2.802,2.933
36,2020-12,0.09,3.9,2.17,2.71,2.822
37,2021-01,0.09,3.94,2.2,2.825,2.928
38,2021-02,0.08,3.93,2.34,3.227,3.127
39,2021-03,0.07,3.94,2.45,3.331,3.269
40,2021-04,0.07,3.99,2.31,3.197,3.214
41,2021-05,0.06,3.95,2.27,.,.
42,2021-06,0.08,3.99,2.34,3.228,3.102
43,2021-07,0.1,4.04,2.1,3.095,2.968
44,2021-08,0.09,4.15,2.17,3.133,3.019
45,2021-09,0.08,4.22,2.28,3.249,3.169
46,2021-10,0.08,4.32,2.37,3.388,3.194
47,2021-11,0.08,4.38,2.42,3.384,3.244
48,2021-12,0.08,4.4,2.33,.,.
49,2022-01,0.08,4.43,2.8,3.864,3.454
50,2022-02,0.08,4.46,3.14,4.114,3.755
51,2022-03,0.2,4.44,3.83,4.81,4.367
52,2022-04,0.33,4.45,4.4,5.275,4.89
53,2022-05,0.77,4.44,4.31,5.254,4.923
54,2022-06,1.21,4.4,4.83,5.591,5.339
55,2022-07,1.68,4.42,4.58,5.269,5.024
56,2022-08,2.33,4.47,4.85,5.656,5.572
57,2022-09,2.56,4.58,5.96,6.524,6.491
58,2022-10,3.08,4.55,6.36,6.854,6.778
59,2022-11,3.78,4.55,5.9,6.479,6.419
